# Show ID, Episode Number Overall, Season Number, Episode Number in Season, First Air Date, Length, Episode Title, Episode Summary
#-----------------------------------------------------------------------------------------------------------------------------------
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 14, 2,  4, 22 Apr 2012, 00:50:44,                               "Garden of Bones"  , "Tyrion attempts to restrain Joffrey's cruelty. Catelyn attempts to broker a peace between Stannis and Renly. Daenerys and her followers arrive at the great city of Qarth and hope to find refuge there. Arya and Gendry arrive at Harrenhal, a great castle now under Lannister occupation."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 15, 2,  5, 29 Apr 2012, 00:54:13,                        "The Ghost of Harrenhal"  , "Confusion rages in the Stormlands in the wake of a devastating reversal. Catelyn must flee with a new ally, whilst Littlefinger sees an opportunity in the chaos. Theon seeks to prove himself to his father in battle. Arya receives a promise from the enigmatic Jaqen H'ghar. The Night's Watch arrives at the Fist of the First Men. Daenerys Targaryen receives a marriage proposal."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 16, 2,  6, 06 May 2012, 00:54:02,                      "The Old Gods and the New"  , "Arya has a surprise visitor; Dany vows to take what is hers; Joffrey meets his subjects; Qhorin gives Jon a chance to prove himself."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 17, 2,  7, 13 May 2012, 00:55:14,                           "A Man Without Honor"  , "Jaime meets a relative; Theon hunts; Dany receives an invitation."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 18, 2,  8, 20 May 2012, 00:53:24,                      "The Prince of Winterfell"  , "Theon holds the fort; Arya calls in her debt with Jaqen; Robb is betrayed; Stannis and Davos approach their destination."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 19, 2,  9, 27 May 2012, 00:54:31,                                    "Blackwater"  , "A massive battle rages for control of King's Landing and the Iron Throne."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 20, 2, 10, 03 Jun 2012, 01:03:30,                               "Valar Morghulis"  , "Tyrion awakens to a changed situation. King Joffrey doles out rewards to his subjects. As Theon stirs his men to action, Luwin offers some final advice. Brienne silences Jaime; Arya receives a gift from Jaqen; Dany goes to a strange place; Jon proves himself to Qhorin."

415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 21, 3,  1, 31 Mar 2013, 00:54:34,                 "Valar Dohaeris"                 , "Jon is brought before Mance Rayder, the King Beyond the Wall, while the Night's Watch survivors retreat south. In King's Landing, Tyrion asks for his reward. Littlefinger offers Sansa a way out. Cersei hosts a dinner for the royal family. Daenerys sails into Slaver's Bay."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 22, 3,  2, 07 Apr 2013, 00:57:08,             "Dark Wings, Dark Words"             , "Sansa says too much. Shae asks Tyrion for a favor. Jaime finds a way to pass the time. Arya runs into the Brotherhood Without Banners."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 23, 3,  3, 14 Apr 2013, 00:52:52,               "Walk of Punishment"               , "Tyrion shoulders new responsibilities. Jon is taken to the Fist of the First Men. Daenerys meets with the slavers. Jaime strikes a deal with his captors."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 24, 3,  4, 21 Apr 2013, 00:53:26,           "And Now His Watch is Ended"           , "The Night's Watch takes stock. Varys meets his better. Arya is taken to the commander of the Brotherhood. Daenerys exchanges a chain for a Whip."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 25, 3,  5, 28 Apr 2013, 00:57:28,                 "Kissed by Fire"                 , "The Hound is judged by the gods; Jaime is judged by men. Jon proves himself; Robb is betrayed. Tyrion learns the cost of weddings."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 26, 3,  6, 05 May 2013, 00:53:25,                   "The Climb"                    , "Tywin plans strategic unions for the Lannisters. Melisandre visits the Riverlands. Robb weighs a compromise to repair his alliance with House Frey. Roose Bolton decides what to do with Jaime Lannister. Jon, Ygritte and the Wildlings face a daunting climb."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 27, 3,  7, 12 May 2013, 00:57:41,          "The Bear and the Maiden Fair"          , "Daenerys exchanges gifts with a slave lord outside Yunkai. As Sansa frets about her prospects, Shae chafes at Tyrion's new situation. Tywin counsels the king, and Melisandre reveals a secret to Gendry. Brienne faces a formidable foe in Harrenhal."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 28, 3,  8, 19 May 2013, 00:56:24,                   "Second Sons"                  , "King's Landing hosts a wedding, and Tyrion and Sansa spend the night together. Daenerys meets the Titan's Bastard. Davos demands proof from Melisandre. Sam and Gilly meet an older Gentleman."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 29, 3,  9, 02 Jun 2013, 00:50:51,             "The Rains of Castamere"             , "Robb presents himself to Walder Frey, and Edmure meets his bride. Jon faces his harshest test yet. Bran discovers a new gift. Daario and Jorah debate how to take Yunkai. House Frey joins with House Tully."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 30, 3, 10, 09 Jun 2013, 01:02:47,                      "Mhysa"                     , "Joffrey challenges Tywin. Bran tells a ghost story. In Dragonstone, mercy comes from strange quarters. Daenerys waits to see if she is a conqueror or a liberator."

415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 31, 4,  1, 06 Apr 2014, 00:58:16, "Two Swords"                                     , "Tyrion welcomes a guest to King's Landing. At Castle Black, Jon Snow finds himself unwelcome. Dany is pointed to Meereen, the mother of all slave cities. Arya runs into an old friend."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 32, 4,  2, 13 Apr 2014, 00:52:37, "The Lion and the Rose"                          , "Tyrion lends Jaime a hand. Joffrey and Margaery host a breakfast. At Dragonstone, Stannis loses patience with Davos. Ramsay finds a purpose for his pet. North of the Wall, Bran sees where they must go."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 33, 4,  3, 20 Apr 2014, 00:56:57, "Breaker of Chains"                              , "Tyrion ponders his options. Tywin extends an olive branch. Sam realizes Castle Black isn't safe, and Jon proposes a bold plan. The Hound teaches Arya the way things are. Dany chooses her Champion."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 34, 4,  4, 27 Apr 2014, 00:55:07, "Oathkeeper"                                     , "Dany balances justice and mercy. Jaime tasks Brienne with his honor. Jon secures volunteers while Bran, Jojen, Meera and Hodor stumble on shelter."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 35, 4,  5, 04 May 2014, 00:53:15, "First of His Name"                              , "Cersei and Tywin plot the Crown's next move. Dany discusses future plans. Jon embarks on a new mission."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 36, 4,  6, 11 May 2014, 00:50:44, "The Laws of Gods and Men"                       , "Stannis and Davos set sail with a new strategy. Dany meets with supplicants. Tyrion faces down his father in the throne room."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 37, 4,  7, 18 May 2014, 00:51:08, "Mockingbird"                                    , "Tyrion enlists an unlikely ally. Daario entreats Dany to allow him to do what he does best. Jon's warnings about the Wall's vulnerability fall on deaf ears. Brienne follows a new lead on the road with Pod."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 38, 4,  8, 01 Jun 2014, 00:52:26, "The Mountain and the Viper"                     , "Mole's Town receives unexpected visitors. Littlefinger's motives are questioned. Ramsay attempts to prove himself to his father. Tyrion's fate is decided."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 39, 4,  9, 08 Jun 2014, 00:50:37, "The Watchers on the Wall"                       , "Jon Snow and the rest of the Night's Watch face the biggest challenge to the Wall yet."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 40, 4, 10, 15 Jun 2014, 01:05:23, "The Children"                                   , "An unexpected arrival north of the Wall changes circumstances. Dany is forced to face harsh realities. Bran learns more of his destiny. Tyrion sees the truth of his situation."

415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 41, 5,  1, 12 Apr 2015, 00:52:12,                               "The Wars to Come" , "Varys discusses a conspiracy with Tyrion; Daenerys' rule faces a new threat; Jon finds himself between two kings; and Cersei and Jaime try to move on from Tywin's demise."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 42, 5,  2, 19 Apr 2015, 00:55:36,                   "The House of Black and White" , "Arya arrives in Braavos; Brienne and Podrick find danger while traveling; Cersei worries about Myrcella in Dorne when Ellaria Sand seeks revenge for Oberyn's death; Jon is tempted by Stannis."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 43, 5,  3, 26 Apr 2015, 00:59:58,                                   "High Sparrow" , "Cersei meets the High Sparrow after learning of a clergyman's embarrassing tale. Meanwhile, Davos talks to Jon about the future of Winterfell, where Ramsay Snow has just learned the identity of his future bride; Arya grows impatient doing menial tasks in the House of Black and White; and Tyrion searches for more comfortable surroundings on a long trip with Varys."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 44, 5,  4, 03 May 2015, 00:50:27,                              "Sons of the Harpy" , "The Faith Militant grow increasingly aggressive. Jaime and Bronn head south. Ellaria and the Sand Snakes vow vengeance."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 45, 5,  5, 10 May 2015, 00:56:43,                                   "Kill the Boy" , "Dany makes a difficult decision in Meereen. Jon recruits the help of an unexpected ally. Brienne searches for Sansa. Theon remains under Ramsay's control."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 46, 5,  6, 17 May 2015, 00:53:43,                      "Unbowed, Unbent, Unbroken" , "Arya trains. Jorah and Tyrion run into slavers. Trystane and Myrcella make plans. Jaime and Bronn reach their destination. The Sand Snakes attack."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 47, 5,  7, 24 May 2015, 00:58:53,                                       "The Gift" , "Jon prepares for conflict. Sansa tries to talk to Theon. Brienne waits for a sign. Stannis remains stubborn. Jaime attempts to reconnect with family."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 48, 5,  8, 31 May 2015, 01:00:04,                                       "Hardhome" , "Arya makes progress in her training. Sansa confronts an old friend. Cersei struggles. Jon travels."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 49, 5,  9, 07 Jun 2015, 00:52:24,                           "The Dance of Dragons" , "Stannis confronts a troubling decision. Jon returns to The Wall. Mace visits the Iron Bank. Arya encounters someone from her past. Dany reluctantly oversees a traditional celebration of athleticism."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 50, 5, 10, 14 Jun 2015, 01:00:16,                                 "Mother's Mercy" , "Cersei seeks forgiveness; Jon faces a new challenge; Arya plots to cross a name off her list; Tyrion sees a familiar face; and Daenerys finds herself surrounded by strangers."

415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 51, 6,  1, 24 Apr 2016, 00:50:04,                 "The Red Woman"                  , "Jon Snow is dead. Daenerys meets a strong man. Cersei sees her daughter again."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 52, 6,  2, 01 May 2016, 00:53:44,                      "Home"                      , "Bran trains with the Three-Eyed Raven. In King's Landing, Jaime advises Tommen. Tyrion demands good news, but has to make his own. At Castle Black, the Night's Watch stands behind Thorne. Ramsay Bolton proposes a plan, and Balon Greyjoy entertains other proposals."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 53, 6,  3, 08 May 2016, 00:52:13,                  "Oathbreaker"                   , "Daenerys meets her future. Bran meets the past. Tommen confronts the High Sparrow. Arya trains to be No One. Varys finds an answer. Ramsay gets a gift."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 54, 6,  4, 15 May 2016, 00:58:43,              "Book of the Stranger"              , "Tyrion strikes a deal. Jorah and Daario undertake a difficult task. Jaime and Cersei try to improve their situation."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 55, 6,  5, 22 May 2016, 00:56:49,                    "The Door"                    , "Tyrion seeks a strange ally. Bran learns a great deal. Brienne goes on a mission. Arya is given a chance to prove herself."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 56, 6,  6, 29 May 2016, 00:51:29,               "Blood of My Blood"                , "An old foe comes back into the picture. Gilly meets Sam's family. Arya faces a difficult choice. Jaime faces off against the High Sparrow."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 57, 6,  7, 05 Jun 2016, 00:50:22,                 "The Broken Man"                 , "The High Sparrow eyes another target. Jaime confronts a hero. Arya makes a plan. The North is reminded."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 58, 6,  8, 12 Jun 2016, 00:58:22,                     "No One"                     , "Jaime encounters a hero; the High Sparrow fixates on another prey; Arya hatches a new plan; Yara and Theon plot their next move; Olenna and Cersei discuss their families' futures. While Jaime weighs his options, Cersei answers a request. Tyrion's plans bear fruit. Arya faces a new test."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 59, 6,  9, 19 Jun 2016, 00:59:19,             "Battle of the Bastards"             , "Ramsay surprises his audience. Jon retaliates. Dany is true to her word."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 60, 6, 10, 26 Jun 2016, 01:08:02,              "The Winds of Winter"               , "Ramsay surprises his audience. Jon retaliates. Dany is true to her word."

415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 61, 7,  1, 16 Jul 2017, 00:58:41,"Dragonstone"                                     , "Jon organizes the defense of the North. Cersei tries to even the odds. Daenerys comes home."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 62, 7,  2, 23 Jul 2017, 00:58:07,"Stormborn"                                       , "Daenerys receives an unexpected visitor. Jon faces a revolt. Tyrion plans the conquest of Westeros."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 63, 7,  3, 30 Jul 2017, 01:02:25,"The Queen's Justice"                             , "Daenerys holds court. Cersei returns a gift. Jaime learns from his mistakes."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 64, 7,  4, 06 Aug 2017, 00:49:26,"The Spoils of War"                               , "Arya gets to the final destination. Daenerys takes it upon herself to strike back."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 65, 7,  5, 13 Aug 2017, 00:58:32,"Eastwatch"                                       , "Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 66, 7,  6, 20 Aug 2017, 01:10:04,"Beyond the Wall"                                 , "Jon's mission continues north of the wall, but the odds against his ragged band of misfits may be greater than he imagined."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 67, 7,  7, 27 Aug 2017, 01:19:52,"The Dragon and the Wolf"                         , "Cersei sits on the Iron Throne; Daenerys sails across the Narrow Sea; Jon Snow is King in the North, and winter is finally here."

415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 68, 8,  1, 14 Apr 2019, 00:53:08,                                      "Winterfell", "Arriving at Winterfell, Jon and Daenerys struggle to unite a divided North. Jon gets some big news."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 69, 8,  2, 21 Apr 2019, 00:58:00,                  "A Knight of the Seven Kingdoms", "Jaime faces judgement and Winterfell prepares for the battle to come."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 70, 8,  3, 28 Apr 2019, 01:21:21,                                  "The Long Night", "Winterfell fights the Army of the Dead."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 71, 8,  4, 05 May 2019, 01:17:05,                          "The Last of the Starks", "The survivors plan their next steps; Cersei makes a power move."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 72, 8,  5, 12 May 2019, 01:18:00,                                       "The Bells", "Varys betrays his queen, and Daenerys brings her forces to King's Landing."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 73, 8,  6, 19 May 2019, 01:18:37,                                 "The Iron Throne", "In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors."
